Price,property_id,title,street_address,city,province,price_per_night,bedroom_count,bathroom_count,floors,parking,face,year,views,area,road,road_width,road_type,build_area,posted,amenities,category,type,guest_count,location_score,rating,booking_id,tenant_id,start_date,end_date,total_price,payment_status,tax_record_id,municipality,tax_rate,distribution_status,factor_id,seasonality_index,tourism_stats,local_events,inflation,cpi,listing_type,area_sqft,build_area_sqft
90000000,90b34d22-4399-46d1-91bd-90d8f223226b,"Flat System House On Sale At Budhanikantha : House For Sale In Budhanilkantha, Kathmandu","Budhanikantha, Budhanilkantha, Kathmandu",Kathmandu,Other,1000,6,3,2.0,10,West,2073.0,17.0,1-0-0-0 Aana,20 Feet / Blacktopped,10.0, Blacktopped,18-0-0-0 Aana,2020-01-01,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Modular Kitchen', 'Garden', 'Water Supply', 'Drainage', 'Water Tank', 'Wifi', 'Water Well', 'Solar Water', 'TV Cable']",Apartment,Entire Place,2,0.6,4.0,,,,,8799050,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,1.0,18.0
80000000,3c2bde70-940f-4c78-901d-6fd7e2e44fc8,"21 Aana Beautiful House : House For Sale In Budhanilkantha, Kathmandu","Pasikot, Budhanilkantha, Kathmandu",Kathmandu,Other,1000,5,3,2.0,9,East,2073.0,26.0,0-21-0-0 Aana,20 Feet / Blacktopped,10.0, Blacktopped,0-14-0-0 Aana,2020-01-01,"['Parking', 'Garage', 'Fencing', 'Frontyard', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'TV Cable']",Apartment,Entire Place,2,0.6,4.0,,,,,7573377,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,0.0,0.0
70000000,e130b47a-b48d-4c0c-85e4-d67e4e561ae7,"Beautiful To Floor House : House For Sale In Dhapasi, Kathmandu","Dhapasi, Dhapasi, Kathmandu",Kathmandu,Other,1000,5,3,2.0,12,East,2071.0,154.0,1-1-0-0 Aana,20 Feet / Blacktopped,10.0, Blacktopped,10-1-0-0 Aana,2020-01-01,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'TV Cable']",Apartment,Entire Place,2,0.6,4.0,,,,,8943305,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,1.0,10.0
130000000,812f385e-d21d-4d8a-a385-e8990e7c6e7b,"Modern Architecture Bungalow House : House For Sale In Baluwatar, Kathmandu","baluwatar, Baluwatar, Kathmandu",Kathmandu,Other,1000,6,4,3.0,9,West,2017.0,17.0,0-10-1-0 Aana,20 Feet / Blacktopped,10.0, Blacktopped,0-7-1-0 Aana,2020-01-01,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Wifi', 'TV Cable']",Apartment,Entire Place,2,0.6,4.0,,,,,9607129,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,0.0,0.0
100000000,ff6e45b5-e926-4057-94fc-1ee070846525,"Modern Bungalow House : House For Sale In Golfutar, Kathmandu","Golfutar, Golfutar, Kathmandu",Kathmandu,Other,1000,6,3,2.0,10,East,2070.0,59.0,0-19-2-0 Aana,20 Feet / Blacktopped,10.0, Blacktopped,0-14-2-0 Aana,2020-01-01,"['Parking', 'Lawn', 'Garage', 'Balcony', 'Backyard', 'Frontyard', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Solar Water', 'Water Well']",Apartment,Entire Place,2,0.6,4.0,,,,,8218228,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,0.0,0.0
100000000,630d8345-2835-4ad4-813d-6669bd139bbb,"Beautiful Bungalow House : House For Sale In Banasthali, Kathmandu","Banasthali, Banasthali, Kathmandu",Kathmandu,Other,1000,5,6,3.0,9,East,2074.0,92.0,0-12-3-1 Aana,13 Feet / Blacktopped,10.0, Blacktopped,0-8-3-1 Aana,2020-01-01,"['Parking', 'Lawn', 'Garage', 'Balcony', 'Backyard', 'Frontyard', 'Fencing', 'Modular Kitchen', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Solar Water']",Apartment,Entire Place,2,0.6,4.0,,,,,9712664,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,0.0,0.0
11000000,d3fc4111-e3c9-41e4-954a-b82097950410,"House For Sale @ Dadathok Lubhu Lalitpur : House For Sale In Lubhu, Lalitpur","Dadathok, Lubhu, Lalitpur",Lalitpur,Other,1000,3,4,3.0,1,South East,2019.0,317.0,3-1-1 Aana,11 Feet / Gravelled,10.0, Gravelled,N/A Aana,2020-01-01,"['Parking', 'Balcony']",Apartment,Entire Place,2,0.6,4.0,,,,,7722014,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,3.0,400.0
50000000,061550c2-ee4b-46a3-a58b-6eb80dcef674,"Modern House : House For Sale In Budhanilkantha, Kathmandu","Hepali, Budhanilkantha, Kathmandu",Kathmandu,Other,1000,5,4,2.0,9,East,2073.0,618.0,0-8-5-0 Aana,20 Feet / Blacktopped,10.0, Blacktopped,0-6-5-0 Aana,2020-01-01,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Wifi', 'TV Cable', 'Solar Water', 'Water Tank', 'Water Well']",Apartment,Entire Place,2,0.6,4.0,,,,,8338385,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,0.0,0.0
100000000,fe4bac9b-1a4d-4601-91b6-bd4891ba5ace,"Flat System House : House For Sale In Baluwatar, Kathmandu","baluwatar, Baluwatar, Kathmandu",Kathmandu,Other,1000,10,8,3.5,5,North,2017.0,110.0,0-12-3-2 Aana,20 Feet / Blacktopped,10.0, Blacktopped,0-9-3-2 Aana,2020-01-01,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Parking']",Apartment,Entire Place,2,0.6,4.0,,,,,11831088,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,0.0,0.0
32500000,fc83e6c6-79dc-474a-bce6-5af795a53645,"Residential House Sale : House For Sale In Sukedhara, Kathmandu","Nearby Nilo Pool, Sukedhara, Kathmandu",Kathmandu,Other,1000,6,4,2.5,1,South East,2065.0,0.0,0-4-0-0 Aana,12 Feet / Concrete,10.0, Concrete,2394 Aana,2020-01-01,"['Balcony', 'Fencing', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']",Apartment,Entire Place,2,0.6,4.0,,,,,4062054791,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,0.0,819346.5
